Country,StatusDate,Infections,Deaths,Recovery
Australia,1/23/2020,0,0,0
Australia,1/25/2020,4,0,0
Australia,1/26/2020,4,0,0
Australia,1/27/2020,5,0,0
Australia,1/28/2020,5,0,0
Australia,1/29/2020,5,0,0
Australia,1/30/2020,9,0,2
Australia,1/31/2020,9,0,2
Australia,2/1/2020,12,0,2
Australia,2/2/2020,4,0,0
Australia,2/4/2020,3,0,0
Australia,2/6/2020,8,0,2
Australia,2/7/2020,5,0,0
Australia,2/9/2020,5,0,0
Australia,2/13/2020,8,0,8
Australia,2/17/2020,2,0,2
Australia,2/21/2020,9,0,1
Australia,2/22/2020,7,0,0
Australia,2/29/2020,21,0,7
Australia,3/1/2020,8,1,4
Australia,3/2/2020,10,0,4
Australia,3/3/2020,24,0,5
Australia,3/4/2020,38,1,10
Australia,3/5/2020,26,1,15
Australia,3/6/2020,33,1,6
Australia,3/7/2020,39,1,11
Australia,3/8/2020,55,3,12
Australia,3/9/2020,67,4,11
Australia,3/10/2020,98,3,19
Australia,3/11/2020,127,3,21
Australia,3/14/2020,250,3,23
Australia,3/15/2020,278,2,23
Australia,3/16/2020,376,3,23
Australia,3/17/2020,413,5,20
Australia,3/18/2020,567,6,23
Australia,3/19/2020,559,6,18
Australia,3/20/2020,660,7,15
Australia,3/21/2020,1068,7,26
Australia,3/22/2020,1490,7,92
Australia,3/23/2020,1682,7,119
Australia,3/24/2020,2044,8,119
Australia,3/25/2020,2364,8,119
Australia,3/26/2020,2810,13,172
Australia,3/27/2020,3143,13,194
Australia,3/28/2020,3640,14,244
Australia,3/29/2020,3984,16,244
Australia,3/30/2020,4361,17,257
Australia,3/31/2020,4559,18,358
Australia,4/1/2020,4862,20,422
Australia,4/2/2020,5116,24,520
Australia,4/3/2020,5330,28,649
