Country,StatusDate,Infections,Deaths,Recovery
Malaysia,1/23/2020,0,0,0
Malaysia,1/25/2020,3,0,0
Malaysia,1/26/2020,4,0,0
Malaysia,1/27/2020,4,0,0
Malaysia,1/28/2020,4,0,0
Malaysia,1/29/2020,7,0,0
Malaysia,1/30/2020,8,0,0
Malaysia,1/31/2020,8,0,0
Malaysia,2/4/2020,10,0,0
Malaysia,2/5/2020,12,0,0
Malaysia,2/7/2020,12,0,1
Malaysia,2/8/2020,16,0,1
Malaysia,2/10/2020,18,0,1
Malaysia,2/11/2020,18,0,3
Malaysia,2/13/2020,19,0,3
Malaysia,2/15/2020,22,0,7
Malaysia,2/18/2020,22,0,13
Malaysia,2/19/2020,22,0,15
Malaysia,2/24/2020,22,0,18
Malaysia,2/29/2020,25,0,18
Malaysia,3/1/2020,29,0,18
Malaysia,3/3/2020,36,0,22
Malaysia,3/4/2020,50,0,22
Malaysia,3/6/2020,83,0,22
Malaysia,3/7/2020,93,0,23
Malaysia,3/8/2020,99,0,24
Malaysia,3/9/2020,117,0,24
Malaysia,3/10/2020,129,0,24
Malaysia,3/11/2020,149,0,26
Malaysia,3/14/2020,238,0,35
Malaysia,3/15/2020,428,0,42
Malaysia,3/16/2020,566,0,42
Malaysia,3/17/2020,673,2,49
Malaysia,3/18/2020,790,2,60
Malaysia,3/19/2020,900,2,75
Malaysia,3/20/2020,1030,3,87
Malaysia,3/21/2020,1183,4,114
Malaysia,3/22/2020,1306,10,139
Malaysia,3/23/2020,1518,14,159
Malaysia,3/24/2020,1624,16,183
Malaysia,3/25/2020,1796,20,199
Malaysia,3/26/2020,2031,23,215
Malaysia,3/27/2020,2161,26,259
Malaysia,3/28/2020,2320,27,320
Malaysia,3/29/2020,2470,35,388
Malaysia,3/30/2020,2626,37,479
Malaysia,3/31/2020,2766,43,537
Malaysia,4/1/2020,2908,45,645
Malaysia,4/2/2020,3116,50,767
Malaysia,4/3/2020,3333,53,827
