Country,StatusDate,Infections,Deaths,Recovery
South Korea,1/22/2020,1,0,0
South Korea,1/23/2020,1,0,0
South Korea,1/24/2020,2,0,0
South Korea,1/25/2020,2,0,0
South Korea,1/26/2020,3,0,0
South Korea,1/27/2020,4,0,0
South Korea,1/28/2020,4,0,0
South Korea,1/29/2020,4,0,0
South Korea,1/30/2020,4,0,0
South Korea,1/31/2020,11,0,0
South Korea,2/1/2020,12,0,0
South Korea,2/2/2020,15,0,0
South Korea,2/4/2020,16,0,0
South Korea,2/5/2020,19,0,0
South Korea,2/6/2020,23,0,0
South Korea,2/7/2020,24,0,1
South Korea,2/9/2020,25,0,3
South Korea,2/10/2020,27,0,3
South Korea,2/11/2020,28,0,3
South Korea,2/12/2020,28,0,7
South Korea,2/15/2020,28,0,9
South Korea,2/16/2020,29,0,9
South Korea,2/17/2020,30,0,10
South Korea,2/18/2020,31,0,12
South Korea,2/20/2020,104,1,16
South Korea,2/21/2020,204,2,16
South Korea,2/22/2020,433,2,16
South Korea,2/23/2020,602,6,18
South Korea,2/24/2020,833,8,18
South Korea,2/25/2020,977,10,22
South Korea,2/26/2020,1261,12,22
South Korea,2/28/2020,2337,13,22
South Korea,2/29/2020,3150,16,27
South Korea,3/1/2020,3736,17,30
South Korea,3/2/2020,4335,28,30
South Korea,3/3/2020,5186,28,30
South Korea,3/4/2020,5621,35,41
South Korea,3/5/2020,6088,35,41
South Korea,3/6/2020,6593,42,135
South Korea,3/7/2020,7041,44,135
South Korea,3/8/2020,7314,50,118
South Korea,3/9/2020,7478,53,118
