Country,StatusDate,Infections,Deaths,Recovery
Japan,1/22/2020,2,0,0
Japan,1/23/2020,1,0,0
Japan,1/24/2020,2,0,0
Japan,1/25/2020,2,0,0
Japan,1/26/2020,4,0,1
Japan,1/27/2020,4,0,1
Japan,1/28/2020,7,0,1
Japan,1/29/2020,7,0,1
Japan,1/30/2020,11,0,1
Japan,1/31/2020,15,0,1
Japan,2/1/2020,20,0,1
Japan,2/4/2020,22,0,1
Japan,2/6/2020,45,0,1
Japan,2/7/2020,25,0,1
Japan,2/9/2020,26,0,1
Japan,2/10/2020,26,0,4
Japan,2/11/2020,26,0,9
Japan,2/12/2020,28,0,9
Japan,2/13/2020,28,1,9
Japan,2/14/2020,29,1,9
Japan,2/15/2020,43,1,12
Japan,2/16/2020,59,1,12
Japan,2/17/2020,66,1,12
Japan,2/18/2020,74,1,13
Japan,2/19/2020,84,1,18
Japan,2/20/2020,94,1,18
Japan,2/21/2020,105,1,22
Japan,2/22/2020,122,1,22
Japan,2/23/2020,147,1,22
Japan,2/24/2020,159,1,22
Japan,2/25/2020,170,1,22
Japan,2/26/2020,189,2,22
Japan,2/28/2020,228,4,22
Japan,2/29/2020,241,5,32
Japan,3/1/2020,256,6,32
Japan,3/2/2020,274,6,32
Japan,3/3/2020,293,6,43
Japan,3/4/2020,331,6,43
Japan,3/5/2020,360,6,43
Japan,3/6/2020,420,6,46
Japan,3/7/2020,461,6,76
Japan,3/8/2020,502,6,76
Japan,3/9/2020,511,17,76
Japan,3/10/2020,581,10,101
Japan,3/11/2020,639,15,118
Japan,3/12/2020,639,16,118
Japan,3/14/2020,773,22,118
Japan,3/16/2020,825,27,144
Japan,3/17/2020,878,29,144
Japan,3/18/2020,889,29,144
Japan,3/19/2020,924,29,150
Japan,3/20/2020,963,33,191
Japan,3/21/2020,1007,35,232
Japan,3/22/2020,1086,36,235
Japan,3/23/2020,1128,42,235
Japan,3/24/2020,1193,43,285
Japan,3/25/2020,1307,45,310
Japan,3/26/2020,1387,47,359
Japan,3/27/2020,1468,49,372
Japan,3/28/2020,1693,52,404
Japan,3/29/2020,1866,54,424
Japan,3/30/2020,1866,54,424
Japan,3/31/2020,1953,56,424
Japan,4/1/2020,2178,57,472
Japan,4/2/2020,2495,62,472
Japan,4/3/2020,2617,63,514
