Country,StatusDate,Infections,Deaths,Recovery
Canada,1/26/2020,1,0,0
Canada,1/27/2020,1,0,0
Canada,1/28/2020,2,0,0
Canada,1/29/2020,2,0,0
Canada,1/30/2020,3,0,0
Canada,1/31/2020,3,0,0
Canada,2/1/2020,4,0,0
Canada,2/4/2020,3,0,0
Canada,2/5/2020,2,0,0
Canada,2/7/2020,4,0,0
Canada,2/12/2020,1,0,1
Canada,2/17/2020,5,0,0
Canada,2/21/2020,8,0,2
Canada,2/24/2020,3,0,2
Canada,2/25/2020,7,0,0
Canada,2/28/2020,1,0,0
Canada,2/29/2020,18,0,5
Canada,3/1/2020,14,0,2
Canada,3/2/2020,17,0,2
Canada,3/3/2020,28,0,5
Canada,3/4/2020,12,0,3
Canada,3/5/2020,36,0,5
Canada,3/6/2020,46,0,5
Canada,3/7/2020,52,0,7
Canada,3/8/2020,62,0,7
Canada,3/9/2020,76,1,8
Canada,3/10/2020,40,0,4
Canada,3/11/2020,108,1,8
Canada,3/12/2020,97,1,8
Canada,3/14/2020,178,1,8
Canada,3/15/2020,244,1,8
Canada,3/16/2020,413,4,9
Canada,3/17/2020,367,1,5
Canada,3/18/2020,653,8,9
Canada,3/19/2020,777,9,9
Canada,3/20/2020,913,12,9
Canada,3/21/2020,1266,19,10
Canada,3/22/2020,1470,21,0
Canada,3/23/2020,2088,25,0
Canada,3/24/2020,2790,26,110
Canada,3/25/2020,3251,30,183
Canada,3/26/2020,4042,38,184
Canada,3/27/2020,4682,54,256
Canada,3/28/2020,5576,61,466
Canada,3/29/2020,6280,64,466
Canada,3/30/2020,7398,80,466
Canada,3/31/2020,8527,101,1592
Canada,4/1/2020,9560,109,1324
Canada,4/2/2020,11284,139,1735
Canada,4/3/2020,12437,179,2175
