Country,StatusDate,Infections,Deaths,Recovery
Thailand,1/22/2020,2,0,0
Thailand,1/23/2020,3,0,0
Thailand,1/24/2020,5,0,0
Thailand,1/25/2020,7,0,0
Thailand,1/26/2020,8,0,2
Thailand,1/27/2020,8,0,2
Thailand,1/28/2020,14,0,5
Thailand,1/29/2020,14,0,5
Thailand,1/30/2020,14,0,5
Thailand,1/31/2020,19,0,5
Thailand,2/4/2020,25,0,5
Thailand,2/8/2020,32,0,10
Thailand,2/11/2020,33,0,10
Thailand,2/13/2020,33,0,12
Thailand,2/16/2020,34,0,14
Thailand,2/17/2020,35,0,15
Thailand,2/21/2020,35,0,17
Thailand,2/23/2020,35,0,21
Thailand,2/25/2020,37,0,22
Thailand,2/26/2020,40,0,22
Thailand,2/28/2020,41,0,28
Thailand,2/29/2020,42,0,28
Thailand,3/1/2020,42,1,28
Thailand,3/2/2020,43,1,31
Thailand,3/5/2020,47,1,31
Thailand,3/6/2020,48,1,31
Thailand,3/7/2020,50,1,31
Thailand,3/10/2020,53,1,33
Thailand,3/11/2020,59,1,34
Thailand,3/12/2020,70,1,34
Thailand,3/14/2020,82,1,35
Thailand,3/15/2020,114,1,35
Thailand,3/16/2020,147,1,35
Thailand,3/17/2020,177,1,41
Thailand,3/18/2020,212,1,42
Thailand,3/19/2020,272,1,42
Thailand,3/20/2020,322,1,42
Thailand,3/21/2020,411,1,42
Thailand,3/22/2020,599,1,44
Thailand,3/23/2020,721,1,52
Thailand,3/24/2020,827,4,52
Thailand,3/25/2020,934,4,70
Thailand,3/26/2020,1045,4,88
Thailand,3/27/2020,1136,5,97
Thailand,3/28/2020,1245,6,97
Thailand,3/29/2020,1388,7,97
Thailand,3/30/2020,1524,9,229
Thailand,3/31/2020,1651,10,342
Thailand,4/1/2020,1771,12,505
Thailand,4/2/2020,1875,15,505
Thailand,4/3/2020,1978,19,612
