Country,StatusDate,Infections,Deaths,Recovery
France,1/24/2020,2,0,0
France,1/25/2020,3,0,0
France,1/26/2020,3,0,0
France,1/27/2020,3,0,0
France,1/28/2020,4,0,0
France,1/29/2020,5,0,0
France,1/30/2020,5,0,0
France,1/31/2020,5,0,0
France,2/1/2020,6,0,0
France,2/8/2020,11,0,0
France,2/12/2020,11,0,2
France,2/15/2020,12,1,4
France,2/25/2020,14,1,11
France,2/26/2020,18,2,11
France,2/28/2020,57,2,11
France,2/29/2020,100,2,12
France,3/1/2020,130,2,12
France,3/2/2020,191,3,12
France,3/3/2020,204,4,12
France,3/4/2020,285,4,12
France,3/5/2020,377,6,12
France,3/6/2020,653,9,12
France,3/7/2020,949,11,12
France,3/8/2020,1126,19,12
France,3/9/2020,1209,19,12
France,3/10/2020,1784,33,12
France,3/11/2020,2284,48,12
France,3/14/2020,4481,91,12
France,3/15/2020,4509,91,12
France,3/16/2020,6645,148,12
France,3/17/2020,7674,148,12
France,3/18/2020,9046,148,12
France,3/19/2020,10883,243,12
France,3/20/2020,12623,450,12
France,3/21/2020,14301,562,12
France,3/22/2020,16214,676,2201
France,3/23/2020,20123,862,2207
France,3/24/2020,22622,1102,3288
France,3/25/2020,25600,1333,3907
France,3/26/2020,29551,1698,4955
France,3/27/2020,33402,1997,5707
France,3/28/2020,38105,2317,5724
France,3/29/2020,40708,2611,7226
France,3/30/2020,45170,3030,7964
France,3/31/2020,52827,3532,9513
France,4/1/2020,57749,4043,11053
France,4/2/2020,59929,5398,12548
France,4/3/2020,65202,6520,14135
